Rank,id,value,mesure,Year,Estación,nombre
4,295,0.024,out_deg_cent,2021,Anaxágoras - Eje 4 Sur Xola,295. Anaxágoras - Eje 4 Sur Xola (0.024)
5,163,0.024,out_deg_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.024)
6,158,0.024,out_deg_cent,2021,Huatabampo - Eje 1 Pte. Av. Cuauhtémoc,158. Huatabampo - Eje 1 Pte. Av. Cuauhtémoc (0.024)
7,33,0.024,out_deg_cent,2021,Londres - Florencia,33. Londres - Florencia (0.024)
8,36,0.024,out_deg_cent,2021,Puebla - Veracruz,36. Puebla - Veracruz (0.024)
9,391,0.024,out_deg_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.024)
10,151,0.016,out_deg_cent,2021,Campeche - Tonalá,151. Campeche - Tonalá (0.016)
11,260,0.016,out_deg_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.016)
12,257,0.016,out_deg_cent,2021,Manuel María Conteras - Villalongín,257. Manuel María Conteras - Villalongín (0.016)
13,160,0.016,out_deg_cent,2021,Alfonso Herrera - Gabino Barreda,160. Alfonso Herrera - Gabino Barreda (0.016)
14,164,0.016,out_deg_cent,2021,Bajío - Tlacotalpan,164. Bajío - Tlacotalpan (0.016)
15,155,0.016,out_deg_cent,2021,Jalapa - Tlaxcala,155. Jalapa - Tlaxcala (0.016)
16,11,0.016,out_deg_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.016)
17,18,0.016,out_deg_cent,2021,Reforma - Río Rhin,18. Reforma - Río Rhin (0.016)
18,327,0.016,out_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.016)
19,183,0.016,out_deg_cent,2021,Gabino Barreda - Guillermo Prieto,183. Gabino Barreda - Guillermo Prieto (0.016)
20,270,0.016,out_deg_cent,2021,De la República - Ponciano Arriaga,270. De la República - Ponciano Arriaga (0.016)
21,34,0.016,out_deg_cent,2021,Liverpool - Génova,34. Liverpool - Génova (0.016)
22,139,0.016,out_deg_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.016)
23,296,0.016,out_deg_cent,2021,Diagonal San Antonio - Enrique Rébsamen,296. Diagonal San Antonio - Enrique Rébsamen (0.016)
24,136,0.016,out_deg_cent,2021,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.016)
25,35,0.016,out_deg_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.016)
26,117,0.016,out_deg_cent,2021,Londres - Nápoles,117. Londres - Nápoles (0.016)
27,254,0.016,out_deg_cent,2021,Alfonso Herrera - Miguel Schultz,254. Alfonso Herrera - Miguel Schultz (0.016)
28,111,0.016,out_deg_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.016)
29,390,0.016,out_deg_cent,2021,Oso - Félix Cuevas,390. Oso - Félix Cuevas (0.016)
30,434,0.016,out_deg_cent,2021,José María Olloqui - Amores,434. José María Olloqui - Amores (0.016)
31,124,0.016,out_deg_cent,2021,Claudio Bernard - Dr. Liceaga,124. Claudio Bernard - Dr. Liceaga (0.016)
32,271,0.016,out_deg_cent,2021,Jesús García - Carlos J. Meneses,271. Jesús García - Carlos J. Meneses (0.016)
33,256,0.016,out_deg_cent,2021,Gómez Farías - Sadi Carnot,256. Gómez Farías - Sadi Carnot (0.016)
34,232,0.008,out_deg_cent,2021,Taine - Rubén Darío,232. Taine - Rubén Darío (0.008)
35,24,0.008,out_deg_cent,2021,Reforma - Varsovia,24. Reforma - Varsovia (0.008)
36,317,0.008,out_deg_cent,2021,Avenida Coyoacán - Torres Adalid,317. Avenida Coyoacán - Torres Adalid (0.008)
37,476,0.008,out_deg_cent,2021,Lago Como - Laguna de Mayrán,476. Lago Como - Laguna de Mayrán (0.008)
38,241,0.008,out_deg_cent,2021,Ejército Nacional - Juan Vázquez de la Mella,241. Ejército Nacional - Juan Vázquez de la Mella (0.008)
39,28,0.008,out_deg_cent,2021,Toledo - Tokio,28. Toledo - Tokio (0.008)
40,245,0.008,out_deg_cent,2021,Lago Onega - Ejército Nacional,245. Lago Onega - Ejército Nacional (0.008)
41,25,0.008,out_deg_cent,2021,Reforma - Estocolmo,25. Reforma - Estocolmo (0.008)
42,27,0.008,out_deg_cent,2021,Reforma - Havre,27. Reforma - Havre (0.008)
43,262,0.008,out_deg_cent,2021,República de Cuba - República de Brasil,262. República de Cuba - República de Brasil (0.008)
44,276,0.008,out_deg_cent,2021,Anaxágoras - Obrero Mundial,276. Anaxágoras - Obrero Mundial (0.008)
