"Genero_Usuario","Ciclo_Estacion_Retiro","Ciclo_Estacion_Arribo","Viajes","Tiempo_Promedio"
"M","141","158",802,6138374.13591022
"M","142","142",483,18279390.9068323
"M","145","145",569,11085633.3848858
"M","145","149",395,2398922.53924051
"M","145","158",391,3228143.80306905
"M","146","146",704,14245355.2556818
"M","149","151",511,5430870.51076321
"M","151","149",800,3468701.26875
"M","151","151",418,18407201.9665072
"M","151","158",770,4098247.14415584
"M","152","152",379,8986811.27013456
"M","154","154",427,12263292.2552693
"M","158","141",806,6026936.67245658
"M","158","145",538,5042537.05390335
"M","158","151",795,5317026.73333333
"M","16","16",732,13351059.4058743
"M","160","257",449,9411403.70155902
"M","163","162",430,4107115.54186046
"M","163","165",389,3569018.23907455
"M","164","163",403,5636742.73200993
"M","164","164",448,19849091.9642857
"M","164","165",396,4619889.07323232
"M","165","163",518,2801597.36486486
"M","165","165",422,12404390.2024028
"M","166","167",446,2970722.6728722
"M","167","286",552,6057763.49456522
"M","17","35",383,5271317.58746736
"M","171","170",392,5151363.63265306
"M","174","1",889,11278919.7075366
"M","174","11",391,5812878.04092072
"M","174","111",1342,4373193.22564158
"M","174","174",381,14402300.4938425
"M","174","183",1139,4817282.27919227
"M","175","175",381,16722735.6985958
"M","18","1",1160,5222764.08965517
"M","18","271",417,13311424.6498801
"M","180","180",418,16446799.4440455
"M","180","303",418,11464690.6727177
"M","183","174",1162,2879016.14888124
"M","183","18",595,9962946.28403361
"M","183","183",391,18229756.342711
"M","185","187",410,2619654.47073171
"M","19","16",409,9868612.24914426
"M","19","19",409,28209338.0924205
"M","19","29",398,12045842.3404523
"M","194","205",374,11299838.6791444
"M","197","208",442,8569017.59954751
"M","197","465",492,7952546.62398374
"M","197","466",374,5066349.11764706
"M","198","208",433,6270103.96997691
"M","205","194",374,3880891.2459893
"M","206","208",555,8182733.64324324
"M","208","197",430,9536120.44883721
"M","208","206",511,8641314.10958904
"M","208","209",412,10102780.2864078
"M","208","242",895,10359374.8201117
"M","209","208",426,5483851.65492958
"M","211","217",687,5050176.76419214
"M","211","246",434,6250196.32488479
"M","211","452",492,5003646.18292683
"M","217","208",421,4494691.63420428
"M","217","211",382,3964742.76701571
"M","218","218",427,21867482.3847916
"M","222","222",515,18122327.5981767
"M","242","208",696,8068474.85488506
"M","246","211",437,4190515.73684211
"M","25","25",675,13734148.6660741
"M","254","111",502,7410769.89441235
"M","254","254",646,18939450.7116502
"M","255","174",418,2867168.33276794
"M","255","255",613,8642778.18577977
"M","255","271-272",381,3809038.73834121
"M","256","111",487,5827961.88725873
"M","256","183",432,5112137.61342593
"M","257","160",370,6992498.92432432
"M","26","266",421,4651863.49881235
"M","26","271",368,3093314.37228261
"M","260","260",690,17368200.4619884
"M","261","271-272",514,10060931.6978755
"M","262","262",625,14632521.49244
"M","27","1",618,6735497.25728155
"M","27","27",920,16522980.9847826
"M","270","266",595,4984726.12268908
"M","270","270",378,15351598.2932222
"M","271","1",390,11163254.2128205
"M","271","10",452,7955421.81637168
"M","271","26",611,7019552.898527
"M","271","270",516,4891706.12209302
"M","271","41",634,6668823.3170347
"M","271-272","111",587,3656973.92798126
"M","271-272","261",580,11198387.2577397
"M","274","274",480,6834384.28958333
"M","276","295",564,3803614.68794326
"M","28","28",409,17269185.0953545
"M","282","295",597,2221860.76884422
"M","286","167",527,2516001.29791271
"M","288","312",376,1846505.45856117
"M","29","19",393,17166983.5437659
"M","295","276",465,4206236.1827957
"M","295","282",508,3602015.26968504
"M","295","299",400,6310393.59
"M","295","317",567,7680717.10229277
"M","296","296",437,15591156.0091533
"M","3","3",555,13634607.5259459
"M","30","1",448,9151679.80357143
"M","30","30",1743,27245966.3630522
"M","300","300",530,18683130.272083
"M","306","312",525,9011659.18884
"M","312","306",367,7903921.80207356
"M","315","315",465,23997836.5933935
"M","32","2",441,10438978.3501134
"M","32","32",482,10992237.7309129
"M","325","302",626,3728415.25482748
"M","327","327",473,20002683.2160909
"M","33","33",990,32500085.1823768
"M","332","312",380,4481375.94254474
"M","34","1",735,10126816.014966
"M","34","34",401,11170024.0523691
"M","341","337",370,7670778.47739459
"M","35","1",1085,11798736.2304147
"M","359","356",427,5467145.62529274
"M","359","357",512,3204743.65234375
"M","360","360",429,20139917.1168322
"M","366","369",459,1787645.59477124
"M","369","363",430,6013436.92325581
"M","369","366",441,2718550.62131519
