source,target,Viajes,Tiempo_Promedio
158,156,623,397.3306581
158,158,503,1231.777336
158,162,526,398.7718631
16,16,606,1081.770627
160,160,944,1482.10911
160,257,1032,644.7945736
160,467,395,783.8658228
161,161,601,1409.998336
162,162,526,1236.619772
162,163,368,457.861413
162,164,504,434.3571429
163,162,535,333.9345794
163,163,733,1570.493861
163,164,494,562.5526316
163,165,799,286.2753442
164,146,411,523.6982968
164,150,478,511.3723849
164,162,382,434.9136126
164,163,569,507.5325132
164,164,1155,1577.922078
164,165,934,319.2783726
165,163,1239,275.2760291
165,164,492,514.6138211
165,165,641,1606.25117
166,167,470,222.5106383
167,167,496,1181.881048
167,169,415,289.2722892
167,182,518,396.6409266
167,286,781,370.3597951
167,305,386,464.4041451
168,168,375,1431.2
168,182,553,300.5768535
169,169,965,1339.871503
169,182,444,463.3648649
17,17,792,1519.445707
171,170,380,427.3157895
171,171,510,1367.97451
171,305,390,406.9025641
172,172,554,1478.906137
173,167,388,308.2293814
173,182,426,312.7347418
174,1,1374,583.7001456
174,6,746,580.1568365
174,11,620,575.2919355
174,12,414,581.3043478
174,18,645,636.6806202
174,85,1328,451.810994
174,103,465,445.6473118
174,111,1703,343.4627129
174,174,843,1493.749703
174,183,1393,314.7975592
174,255,459,489.8300654
174,271,660,655
175,175,967,1915.174767
175,190,506,972.701581
175,296,370,1121.121622
175,327,510,1235.705882
175,391,504,1341.188492
175,449,399,1510.451128
179,179,419,1322.637232
18,1,1856,347.9380388
18,15,490,437.2734694
18,18,719,1534.165508
18,174,558,670.3530466
18,266,419,929.2410501
18,271,523,802.2045889
180,71,414,401.2173913
180,180,697,1516.86944
180,182,625,292.6864
181,181,804,1379.358209
182,63,371,495.3881402
182,64,367,597.4250681
182,69,378,471.9312169
182,71,368,600.1005435
182,74,486,401.4465021
182,84,593,321.6458685
182,171,585,447.1418803
182,173,508,455.1476378
182,180,417,265.4556355
182,182,1249,1429.305044
183,1,387,555.3875969
183,18,549,501.4954463
183,174,1360,277.0198529
183,183,1253,1509.440543
183,256,578,358.2854671
184,184,419,1597.498807
184,185,416,283.0048077
185,184,460,279.076087
185,185,555,1465.789189
185,186,524,400.6278626
185,188,448,424.8258929
185,189,434,442.2949309
186,186,742,1818.393531
186,187,522,322.9961686
187,187,609,1158.748768
187,188,379,368.7704485
188,184,512,540.828125
188,185,477,529.0272537
188,187,584,335.2226027
189,185,516,316.5155039
189,189,746,1682.899464
19,7,393,533.2366412
190,139,372,1260.228495
190,175,588,878.2431973
190,190,744,1608.900538
190,449,384,1174.104167
191,185,376,360.4069149
194,194,1033,1870.282672
195,195,387,2086.255814
197,197,458,1415.08952
197,208,706,795.3753541
197,465,534,614.6292135
198,208,424,623.2334906
2,1,510,432.6431373
2,2,821,1543.646772
2,9,477,282.5303983
20,15,600,534.0133333
206,204,451,351.6585366
206,208,1359,481.7998528
208,197,571,928.7583187
208,198,377,607.6286472
208,206,1633,554.8064911
208,209,660,632.9606061
208,215,443,425.1038375
208,217,690,371.7115942
208,242,1257,686.4367542
208,460,741,720.3346829
208,461,468,856.4551282
209,208,573,603.600349
21,27,391,500.3350384
210,197,367,668.6866485
210,206,560,543.3732143
210,209,407,447.8869779
210,242,367,508.9782016
210,460,424,532.0070755
211,207,456,284.5745614
211,217,1389,253.0964723
211,246,618,355.0113269
211,452,635,427.4330709
212,217,467,307.0107066
215,208,380,430.8552632
217,206,375,792.192
217,208,559,372.90161
217,211,846,289.749409
217,212,587,311.988075
217,217,1017,1236.668633
217,242,370,953.9783784
219,208,379,633.8021108
222,190,367,1349.637602
222,222,1119,1772.670241
222,241,536,1126.039179
222,449,421,1574.308789
223,223,481,1282.322245
228,242,390,658.8666667
23,23,731,1360.55814
23,27,621,506.6296296
230,230,377,1306.474801
232,232,662,1324.806647
233,233,396,1561.507576
237,227,462,536.8311688
237,236,457,376.6017505
24,1,470,480.7148936
24,27,513,403.7699805
24,266,729,1038.754458
24,267,478,1043.089958
24,271,518,987.5057915
240,208,484,716.677686
241,33,375,1859.581333
241,222,484,1346.206612
241,241,951,1776.691903
241,449,376,1531.648936
